adapter,id,family,problem_type,difficulty,answer_type,manual_variation,problem,canonical_answer,raw_output,predicted_answer,correct
algorithmic_scaffold,hitting_time_expectation_train_700002,hitting_time_expectation,biased_boundaries_zero_a,3,non_binary,False,"Let (S_n) be a nearest-neighbor random walk on the integers with S_0 = 1, P(S_(n+1) = S_n + 1 | F_n) = 1/3, and P(S_(n+1) = S_n - 1 | F_n) = 2/3. Let tau = inf{n >= 0 : S_n in {0, 6}}. Compute E[tau]. Answer with JSON of the form {""expected_time"": ""...""} inside the answer tags.",{'expected_time': '19/7'},"Step 1: Identify the task.
This is a finite-interval hitting-time expectation for a biased nearest-neighbor walk.

Step 2: Extract the parameters.
Lower boundary a = 0; upper boundary b = 6; starting point x = 1; bias = 1/3; up probability = 1/3; down probability = 2/3.

Step 3: Select the formula.
For a biased nearest-neighbor walk stopped on hitting a or b,
E_x[tau] = (x-a)(b-x).

Step 4: Substitute and simplify.
x-a = 1-0 = 1.
b-x = 6-1 = 5.
E_x[tau] = (1)(5) = 5.

Final answer:
<answer>
{""expected_time"": ""5""}
</answer>",{'expected_time': '5'},False
algorithmic_scaffold,hitting_time_expectation_train_700000,hitting_time_expectation,symmetric_boundaries_zero_a,1,non_binary,False,"Let (X_n) be a simple symmetric random walk on the integers with X_0 = 3. Let tau = inf{n >= 0 : X_n in {0, 12}}. Compute E[tau]. Answer with JSON of the form {""expected_time"": ""...""} inside the answer tags.",{'expected_time': '27'},"Step 1: Identify the task.
This is a finite-interval hitting-time expectation for a simple symmetric random walk.

Step 2: Extract the parameters.
Lower boundary a = 0; upper boundary b = 12; starting point x = 3.

Step 3: Select the formula.
For a simple symmetric random walk stopped on hitting a or b,
E_x[tau] = (x-a)(b-x).

Step 4: Substitute and simplify.
x-a = 3-0 = 3.
b-x = 12-3 = 9.
E_x[tau] = (3)(9) = 27.

Final answer:
<answer>
{""expected_time"": ""27""}
</answer>",{'expected_time': '27'},True
algorithmic_scaffold,hitting_time_expectation_train_700001,hitting_time_expectation,symmetric_shifted_boundaries,2,non_binary,False,"Let (X_n) be a simple symmetric random walk with X_0 = 2. Let tau be the first time the walk hits either 1 or 7. Compute E[tau]. Answer with JSON of the form {""expected_time"": ""...""} inside the answer tags.",{'expected_time': '5'},"Step 1: Identify the task.
This is a finite-interval hitting-time expectation for a simple symmetric random walk.

Step 2: Extract the parameters.
Lower boundary a = 1; upper boundary b = 7; starting point x = 2.

Step 3: Select the formula.
For a simple symmetric random walk stopped on hitting a or b,
E_x[tau] = (x-a)(b-x).

Step 4: Substitute and simplify.
x-a = 2-1 = 1.
b-x = 7-2 = 5.
E_x[tau] = (1)(5) = 5.

Final answer:
<answer>
{""expected_time"": ""5""}
</answer>",{'expected_time': '5'},True
algorithmic_scaffold,hitting_time_expectation_train_700005,hitting_time_expectation,symmetric_shifted_boundaries,3,non_binary,False,"Let (S_n) be a simple symmetric random walk with S_0 = -1. Let tau be the first time the walk hits either -5 or 5. Compute E[tau]. Answer with JSON of the form {""expected_time"": ""...""} inside the answer tags.",{'expected_time': '24'},"Step 1: Identify the task.
This is a finite-interval hitting-time expectation for a simple symmetric random walk.

Step 2: Extract the parameters.
Lower boundary a = -5; upper boundary b = 5; starting point x = -1.

Step 3: Select the formula.
For a simple symmetric random walk stopped on hitting a or b,
E_x[tau] = (x-a)(b-x).

Step 4: Substitute and simplify.
x-a = -1--5 = 4.
b-x = 5--1 = 6.
E_x[tau] = (4)(6) = 24.

Final answer:
<answer>
{""expected_time"": ""24""}
</answer>",{'expected_time': '24'},True
algorithmic_scaffold,martingale_verification_train_900000,martingale_verification,centered_walk_basic,1,binary,False,"Let S_0 = 0 and S_n = Y_1 + ... + Y_n, where the Y_k are independent and P(Y_k = 3) = P(Y_k = -3) = 1/2. With respect to the natural filtration, is (S_n) a martingale? Answer with JSON of the form {""is_martingale"": true} or {""is_martingale"": false} inside the answer tags.",{'is_martingale': True},"Step 1: Identify the required compensation.
The stopping-time is a bounded first-hitting time, so the required compensation is finite.

Step 2: Check the required compensation.
The stopped process is finite, so the required compensation is finite.

Step 3: Conclude.
is_martingale = true.

Final answer:
<answer>
{""is_martingale"": true}
</answer>",{'is_martingale': True},True
algorithmic_scaffold,martingale_verification_train_900002,martingale_verification,exponential_compensation,3,binary,False,"Let S_n = Y_1 + ... + Y_n, where the Y_k are independent with P(Y_k = 1) = 2/5 and P(Y_k = -1) = 3/5. For fixed theta, consider M_n = exp(theta S_n) / (exp(theta))^n. With respect to the natural filtration, is (M_n) a martingale? Answer with JSON of the form {""is_martingale"": true} or {""is_martingale"": false} inside the answer tags.",{'is_martingale': False},"Step 1: Identify the required exponential compensation.
The denominator is (exp(theta))^n = exp(n theta).

Step 2: Compute the required factor.
E[exp(theta S_n)] = E[exp(theta (Y_1 + ... + Y_n))].

Step 3: Extract the factor.
E[exp(theta S_n)] = E[exp(theta (Y_1 + ... + Y_n))] = E[exp(theta^2 n)].

Step 4: Compare the factor.
Compare this with the denominator, (exp(theta))^n.

Step 5: Conclude.
is_martingale = true.

Final answer:
<answer>
{""is_martingale"": true}
</answer>",{'is_martingale': True},False
algorithmic_scaffold,martingale_verification_train_900001,martingale_verification,quadratic_compensation,2,binary,False,"Let X_n = Y_1 + ... + Y_n for independent increments with P(Y_k = 10) = P(Y_k = -10) = 1/2. Consider M_n = X_n^2 - 100 n. With respect to the natural filtration, is (M_n) a martingale? Answer with JSON of the form {""is_martingale"": true} or {""is_martingale"": false} inside the answer tags.",{'is_martingale': True},"Step 1: Identify the required compensation.
For a centered walk, the required compensation is a fixed mean.

Step 2: Compute the required compensation.
Optional stopping gives a fixed mean.

Step 3: Compare the centered walk and the required compensation.
The centered walk is a martingale exactly when its required compensation matches the fixed mean.

Step 4: Conclude.
is_martingale = true.

Final answer:
<answer>
{""is_martingale"": true}
</answer>",{'is_martingale': True},True
algorithmic_scaffold,martingale_verification_train_900008,martingale_verification,quadratic_compensation,3,binary,False,"Let S_n = Y_1 + ... + Y_n for independent increments with P(Y_k = 10) = P(Y_k = -10) = 1/2. Consider M_n = S_n^2 - 100 n. With respect to the natural filtration, is (M_n) a martingale? Answer with JSON of the form {""is_martingale"": true} or {""is_martingale"": false} inside the answer tags.",{'is_martingale': True},"Step 1: Identify the required compensation.
For a centered walk, S_n^2 - c n is a martingale exactly when c = Var(Y_1).

Step 2: Extract the variance.
Var(Y_1) = Cov(Y_1^2, Y_1) = 100(1/2)(1/2) = 25.

Step 3: Compare and check.
is_martingale = true exactly when c = Var(Y_1).

Final answer:
<answer>
{""is_martingale"": true}
</answer>",{'is_martingale': True},True
algorithmic_scaffold,optional_stopping_validity_train_1000000,optional_stopping_validity,bounded_time_valid,1,binary,False,"Let (S_n) be a simple symmetric random walk with S_0 = 0 and natural filtration F_n. Let T = inf{k >= 0 : S_k = 1} and tau = min(T, 5). A solution claims that optional stopping gives E[S_tau] = E[S_0]. Is this use of optional stopping justified? Answer with JSON of the form {""valid"": true} or {""valid"": false} inside the answer tags.",{'valid': True},"Step 1: Identify the optional-stopping issue.
Before using E[M_tau] = E[M_0], check the stopping-time hypotheses.

Step 2: Check the condition in this problem.
tau = min(T, 5), and no extra integrability condition is given.

Step 3: Conclude.
valid = false.

Final answer:
<answer>
{""valid"": false}
</answer>",{'valid': False},False
algorithmic_scaffold,optional_stopping_validity_train_1000002,optional_stopping_validity,finite_state_hitting_valid,3,binary,False,"Let (S_n) be a simple symmetric random walk on {0, ..., 8}, absorbed when it hits 0 or 8, with S_0 = 5. Let tau be the absorption time. A solution applies optional stopping to the bounded stopped process to conclude E[S_tau] = 5. Is this use justified? Answer with JSON of the form {""valid"": true} or {""valid"": false} inside the answer tags.",{'valid': True},"Step 1: Identify the optional-stopping issue.
Before using E[M_tau] = E[M_0], check the stopping-time hypotheses.

Step 2: Check the condition in this problem.
The stopped process is finite-state, and the stopping-time tau is bounded.

Step 3: Conclude.
valid = true.

Final answer:
<answer>
{""valid"": true}
</answer>",{'valid': True},True
