adapter,id,family,problem_type,difficulty,answer_type,manual_variation,problem,canonical_answer,raw_output,predicted_answer,correct
formula_direct,hitting_time_expectation_train_343001,hitting_time_expectation,biased_boundaries_zero_a,3,non_binary,False,"Let (X_n) be a nearest-neighbor random walk on the integers with X_0 = 5, P(X_(n+1) = X_n + 1 | F_n) = 3/5, and P(X_(n+1) = X_n - 1 | F_n) = 2/5. Let tau = inf{n >= 0 : X_n in {0, 7}}. Compute E[tau]. Answer with JSON of the form {""expected_time"": ""...""} inside the answer tags.",{'expected_time': '14990/2059'},"Use the finite-boundary hitting-time formula for a nearest-neighbor walk with absorbing barriers at 0 and 7. The expected hitting time E[tau] is given by the formula:

E[tau] = (X_0)(X_0 - X_1)(X_0 - X_1 + X_0 - X_2)...(X_0 - X_n)...(X_0 - X_{tau-1}) = X_0(X_0 - X_1)...(X_0 - X_{tau-1}).

However, the exact computation requires a more detailed analysis using the finite-boundary hitting-time formula.

Final answer:
<answer>
{""expected_time"": ""10""}
</answer>",{'expected_time': '10'},False
formula_direct,hitting_time_expectation_train_341000,hitting_time_expectation,symmetric_boundaries_zero_a,1,non_binary,True,"Consider a simple symmetric random walk (X_n) on the integers with X_0 = 8. Set tau = inf{n >= 0 : X_n in {0, 10}}. Compute the expected hitting time E[tau]. Return JSON of the form {""expected_time"": ""...""} inside the answer tags.",{'expected_time': '16'},"Use the finite-boundary hitting-time formula for a simple symmetric random walk on the integers with absorbing boundaries at 0 and 10. The expected hitting time E[tau] is given by the formula:

E[tau] = (10 - X_0) * (X_0) = (10 - 8) * 8 = 2 * 8 = 16.

Final answer:
<answer>
{""expected_time"": ""16""}
</answer>",{'expected_time': '16'},True
formula_direct,hitting_time_expectation_train_342000,hitting_time_expectation,symmetric_shifted_boundaries,2,non_binary,True,"Consider a simple symmetric random walk (S_n) with S_0 = 3. Let tau denote the first hitting time of either 1 or 5. Compute the expected hitting time E[tau]. Return JSON of the form {""expected_time"": ""...""} inside the answer tags.",{'expected_time': '4'},"Use the finite-boundary hitting-time formula for a simple symmetric random walk with absorbing barriers at 1 and 5. The expected hitting time E[tau] is given by the formula:

E[tau] = (1/2)(1 + 5 + 3) = 4.5.

Final answer:
<answer>
{""expected_time"": ""4.5""}
</answer>",{'expected_time': '4.5'},False
formula_direct,hitting_time_expectation_train_343000,hitting_time_expectation,symmetric_shifted_boundaries,3,non_binary,True,"Consider a simple symmetric random walk (S_n) with S_0 = 2. Let tau denote the first hitting time of either 1 or 6. Compute the expected hitting time E[tau]. Return JSON of the form {""expected_time"": ""...""} inside the answer tags.",{'expected_time': '4'},"Use the finite-boundary hitting-time formula for a simple symmetric random walk with absorbing barriers at 1 and 6. The expected hitting time E[tau] is given by the formula:

E[tau] = (1 - a)(b - a) / (a - b), where a = 1 and b = 6.

Substitute the values:
E[tau] = (1 - 1)(6 - 1) / (1 - 6) = 0.

Therefore, the expected hitting time E[tau] is:
Final answer:
<answer>
{""expected_time"": ""0""}
</answer>",{'expected_time': '0'},False
formula_direct,martingale_verification_train_311000,martingale_verification,centered_walk_basic,1,binary,True,"Take S_0 = 0 and define S_n = Y_1 + ... + Y_n, where the Y_k are independent and P(Y_k = 3) = P(Y_k = -3) = 1/2. With the natural filtration in mind, decide whether (S_n) is a martingale? Give only JSON of the required form inside the answer tags.",{'is_martingale': True},"Check the martingale condition: E[S_{n+1} | F_n] = E[Y_{n+1} | F_n] = E[Y_{n+1}] = 0.

Therefore, the bounded independent increments condition is satisfied.

Final answer:
<answer>
{""is_martingale"": true}
</answer>",{'is_martingale': True},True
formula_direct,martingale_verification_train_313002,martingale_verification,exponential_compensation,3,binary,False,"Let S_n = Y_1 + ... + Y_n, where the Y_k are independent with P(Y_k = 1) = 1/3 and P(Y_k = -1) = 2/3. For fixed lambda, consider M_n = exp(lambda S_n) / (exp(lambda))^n. With respect to the natural filtration, is (M_n) a martingale? Answer with JSON of the form {""is_martingale"": true} or {""is_martingale"": false} inside the answer tags.",{'is_martingale': False},"Check the optional-stopping hypotheses and the bounded-stopping hypotheses for the martingale condition.

The optional-stopping hypothesis is satisfied because the compensation is bounded by the compensation.
The bounded-stopping hypothesis is satisfied because the compensation is bounded by the compensation.
Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore, the compensated compensator is bounded.

Therefore,",,False
formula_direct,martingale_verification_train_312000,martingale_verification,quadratic_compensation,2,binary,True,"Let S_n = Y_1 + ... + Y_n for independent increments with mean 0 and variance 9. Consider M_n = S_n^2 - 18 n. With the natural filtration in mind, decide whether (M_n) is a martingale? Give only JSON of the required form inside the answer tags.",{'is_martingale': False},"Check the martingale condition using the compensated-stopping-boundary approach.

The compensated-stopping-boundary condition is satisfied because the compensated-stopping-boundary is bounded by the compensated-stopping-boundary condition.

Therefore, the compensated-stopping-boundary condition is satisfied.

Final answer:
<answer>
{""isMartingale"": true}
</answer>",{'isMartingale': True},False
formula_direct,martingale_verification_train_313000,martingale_verification,quadratic_compensation,3,binary,True,"Define S_n = Y_1 + ... + Y_n for independent increments with mean 0 and standard deviation 1. Consider M_n = S_n^2 - 1 n. With the natural filtration in mind, decide whether (M_n) is a martingale? Give only JSON of the required form inside the answer tags.",{'is_martingale': True},"Check the optional-stopping hypotheses and the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the bounded-stopping hypotheses.
Check the",,False
formula_direct,optional_stopping_validity_train_321000,optional_stopping_validity,bounded_time_valid,1,binary,True,"Consider a simple symmetric random walk (X_n) with X_0 = 0 and natural filtration F_n. Let T = inf{k >= 0 : X_k = 2} and tau = min(T, 10). Suppose a proposed solution claims that optional stopping gives E[X_tau] = E[X_0]. Is the quoted optional-stopping step justified as written? Give only JSON of the required form inside the answer tags.",{'valid': True},"Check the quoted optional-stopping step using the optional-stopping hypotheses.
The quoted step is E[X_tau] = E[X_0].
By the optional-stopping hypotheses, this is valid.
Final answer:
<answer>
{""justified"": true}
</answer>",{'justified': True},True
formula_direct,optional_stopping_validity_train_323002,optional_stopping_validity,finite_state_hitting_valid,3,binary,False,"Let (S_n) be a simple symmetric random walk on {0, ..., 8}, absorbed when it hits 0 or 8, with S_0 = 4. Let tau be the absorption time. A solution applies optional stopping to the bounded stopped process to conclude E[S_tau] = 4. Is this use justified? Answer with JSON of the form {""valid"": true} or {""valid"": false} inside the answer tags.",{'valid': True},"Check the optional-stopping hypotheses.
The quoted optional-stopping hypotheses are valid.
Final answer:
<answer>
{""valid"": true}
</answer>",{'valid': True},True
