adapter,id,family,problem_type,difficulty,answer_type,manual_variation,problem,canonical_answer,raw_output,predicted_answer,correct
implicit_theorems,hitting_time_expectation_train_implicit_theorems_343001,hitting_time_expectation,biased_boundaries_zero_a,3,non_binary,False,"Let (X_n) be a nearest-neighbor random walk on the integers with X_0 = 5, P(X_(n+1) = X_n + 1 | F_n) = 3/5, and P(X_(n+1) = X_n - 1 | F_n) = 2/5. Let tau = inf{n >= 0 : X_n in {0, 7}}. Compute E[tau]. Answer with JSON of the form {""expected_time"": ""...""} inside the answer tags.",{'expected_time': '14990/2059'},"This is a finite horizon hitting-time problem. The process starts at position 5 and moves either left or right with probabilities 2/5 and 3/5 respectively. The hitting time tau is the first time the process reaches either 0 or 7.

This is a martingale hitting-time process. The hitting-time distribution is symmetric around the starting point. The expected hitting time can be computed using the formula for finite horizon hitting-time in a martingale.

The formula for the expected hitting time is:

E[tau] = (7 - 5) / (3/5 - 2/5) = 2 / (1/5) = 10.

Final answer:
<answer>
{""expected_time"": ""10""}
</answer>",{'expected_time': '10'},False
implicit_theorems,hitting_time_expectation_train_implicit_theorems_341000,hitting_time_expectation,symmetric_boundaries_zero_a,1,non_binary,True,"Consider a simple symmetric random walk (X_n) on the integers with X_0 = 8. Set tau = inf{n >= 0 : X_n in {0, 10}}. Compute the expected hitting time E[tau]. Return JSON of the form {""expected_time"": ""...""} inside the answer tags.",{'expected_time': '16'},"The hitting time tau is the first time the symmetric simple random walk starting at X_0 = 8 reaches either 0 or 10. This is a classic gambler's ruin problem.

In the gambler's ruin setup, the expected hitting time is infinite when the absorbing barriers are not symmetric. Here, the absorbing barriers are at 0 and 10, and the walk is symmetric. This is a finite horizon process, and the hitting time is infinite.

Final answer:
<answer>
{""expected_time"": ""inf""}
</answer>",{'expected_time': 'inf'},False
implicit_theorems,hitting_time_expectation_train_implicit_theorems_342000,hitting_time_expectation,symmetric_shifted_boundaries,2,non_binary,True,"Consider a simple symmetric random walk (S_n) with S_0 = 3. Let tau denote the first hitting time of either 1 or 5. Compute the expected hitting time E[tau]. Return JSON of the form {""expected_time"": ""...""} inside the answer tags.",{'expected_time': '4'},"The hitting time tau is the first time the symmetric simple random walk starting at S_0 = 3 reaches either 1 or 5. This is a classic finite horizon hitting time problem.

The standard approach involves setting up a system of linear equations based on the hitting probabilities. Let E[x] denote the expected hitting time starting from position x. Then, for the symmetric simple random walk, the hitting time satisfies the following recurrence:

E[x] = 1 + E[x-1] for x < 1 (absorbing at 1), and
E[x] = 1 + E[x+1] for x > 5 (absorbing at 5).

The boundary conditions are:
- E[1] = 0 (tau is absorbed at 1)
- E[5] = 0 (tau is absorbed at 5)

Solving this system gives the expected hitting time E[3].

Final answer:
<answer>
{""expected_time"": ""10""}
</answer>",{'expected_time': '10'},False
implicit_theorems,hitting_time_expectation_train_implicit_theorems_343000,hitting_time_expectation,symmetric_shifted_boundaries,3,non_binary,True,"Consider a simple symmetric random walk (S_n) with S_0 = 2. Let tau denote the first hitting time of either 1 or 6. Compute the expected hitting time E[tau]. Return JSON of the form {""expected_time"": ""...""} inside the answer tags.",{'expected_time': '4'},"The hitting time tau is the first time the symmetric simple random walk starting at S_0 = 2 reaches either state 1 or state 6. This is a classic finite horizon hitting-time problem.

The standard approach involves setting up a system of linear equations for the expected hitting times. Let E_i denote the expected hitting time starting from state i. Then, for i = 1 or i = 6, E_i = 0. For other states i = 2, 3, 4, 5, the hitting time satisfies the recurrence:

E_i = 1 + (E_{i-1} + E_{i+1}) / 2

This is a standard finite difference equation. Solving this system yields the expected hitting time E_2.

The exact solution involves solving the recurrence relation and is known in the literature. The expected hitting time E_2 is known to be:

Final answer:
<answer>
{""expected_time"": ""10""}
</answer>",{'expected_time': '10'},False
implicit_theorems,martingale_verification_train_implicit_theorems_311000,martingale_verification,centered_walk_basic,1,binary,True,"Take S_0 = 0 and define S_n = Y_1 + ... + Y_n, where the Y_k are independent and P(Y_k = 3) = P(Y_k = -3) = 1/2. With the natural filtration in mind, decide whether (S_n) is a martingale? Give only JSON of the required form inside the answer tags.",{'is_martingale': True},"Check the martingale property by verifying the condition E[S_{n+1} | F_n] = S_n.

- S_{n+1} = S_n + Y_{n+1}
- E[S_{n+1} | F_n] = E[S_n + Y_{n+1} | F_n] = S_n + E[Y_{n+1}] = S_n + 0 = S_n

Since E[S_{n+1} | F_n] = S_n, the process (S_n) is a martingale.

Final answer:
<answer>
{""is_martingale"": true}
</answer>",{'is_martingale': True},True
implicit_theorems,martingale_verification_train_implicit_theorems_313002,martingale_verification,exponential_compensation,3,binary,False,"Let S_n = Y_1 + ... + Y_n, where the Y_k are independent with P(Y_k = 1) = 1/3 and P(Y_k = -1) = 2/3. For fixed lambda, consider M_n = exp(lambda S_n) / (exp(lambda))^n. With respect to the natural filtration, is (M_n) a martingale? Answer with JSON of the form {""is_martingale"": true} or {""is_martingale"": false} inside the answer tags.",{'is_martingale': False},"For the process M_n = exp(lambda S_n) / (exp(lambda))^n, we analyze its properties with respect to the natural filtration. The deterministic factor exp(lambda) is independent of the stochastic process S_n. The deterministic factor is a constant, so it does not affect the martingale property.

The process M_n is a deterministic multiple of the exponential martingale. Since the deterministic factor is a constant, it does not change the martingale property. Therefore, M_n is a martingale.

Final answer:
<answer>
{""is_martingale"": true}
</answer>",{'is_martingale': True},False
implicit_theorems,martingale_verification_train_implicit_theorems_312000,martingale_verification,quadratic_compensation,2,binary,True,"Let S_n = Y_1 + ... + Y_n for independent increments with mean 0 and variance 9. Consider M_n = S_n^2 - 18 n. With the natural filtration in mind, decide whether (M_n) is a martingale? Give only JSON of the required form inside the answer tags.",{'is_martingale': False},"Check the integrability of the increments and the uniform integrability. Since the increments Y_i have mean 0 and variance 9, the increments satisfy the uniform integrability condition. Therefore, (M_n) is a martingale.

Final answer:
<answer>
{""is_martingale"": true}
</answer>",{'is_martingale': True},False
implicit_theorems,martingale_verification_train_implicit_theorems_313000,martingale_verification,quadratic_compensation,3,binary,True,"Define S_n = Y_1 + ... + Y_n for independent increments with mean 0 and standard deviation 1. Consider M_n = S_n^2 - 1 n. With the natural filtration in mind, decide whether (M_n) is a martingale? Give only JSON of the required form inside the answer tags.",{'is_martingale': True},"Check the integrability of the increments and the uniform integrability. The increments Y_i are independent with mean 0 and standard deviation 1. The process S_n is a martingale if the increments satisfy certain uniform integrability conditions. Since the increments are bounded in L^2, the process M_n is a martingale.

Final answer:
<answer>
{""is_martingale"": true}
</answer>",{'is_martingale': True},True
implicit_theorems,optional_stopping_validity_train_implicit_theorems_321000,optional_stopping_validity,bounded_time_valid,1,binary,True,"Consider a simple symmetric random walk (X_n) with X_0 = 0 and natural filtration F_n. Let T = inf{k >= 0 : X_k = 2} and tau = min(T, 10). Suppose a proposed solution claims that optional stopping gives E[X_tau] = E[X_0]. Is the quoted optional-stopping step justified as written? Give only JSON of the required form inside the answer tags.",{'valid': True},Check the integrability of the stopping time and the integrability of the integrand. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand is bounded by the uniform integrability condition. The integrand,,False
implicit_theorems,optional_stopping_validity_train_implicit_theorems_323002,optional_stopping_validity,finite_state_hitting_valid,3,binary,False,"Let (S_n) be a simple symmetric random walk on {0, ..., 8}, absorbed when it hits 0 or 8, with S_0 = 4. Let tau be the absorption time. A solution applies optional stopping to the bounded stopped process to conclude E[S_tau] = 4. Is this use justified? Answer with JSON of the form {""valid"": true} or {""valid"": false} inside the answer tags.",{'valid': True},"Check the reasoning for the use of optional stopping. The statement says that the absorption time tau is bounded, and the optional stopping theorem applies. The key is that the stopped process is bounded and the integrand is bounded. The integrand is S_tau, which is bounded by the size of the state space. The optional stopping theorem applies here. The integrand is bounded, so the statement is justified.

Final answer:
<answer>
{""valid"": true}
</answer>",{'valid': True},True
