adapter,id,family,problem_type,difficulty,answer_type,manual_variation,problem,canonical_answer,raw_output,predicted_answer,correct
algorithmic_scaffold_v2_5,hitting_time_expectation_train_2220000,hitting_time_expectation,biased_boundaries_zero_a,3,non_binary,False,"Let (S_n) be a nearest-neighbor random walk on the integers with S_0 = 3, P(S_(n+1) = S_n + 1 | F_n) = 2/5, and P(S_(n+1) = S_n - 1 | F_n) = 3/5. Let tau = inf{n >= 0 : S_n in {0, 7}}. Compute E[tau]. Answer with JSON of the form {""expected_time"": ""...""} inside the answer tags.",{'expected_time': '20245/2059'},"Step 1: Identify the walk type.
The walk is a symmetric walk, and the probability of +1 or -1 is 2/5 and 3/5, respectively.

Step 2: Extract the interval parameters.
The lower boundary is 0, and the upper boundary is b = 7.

Step 3: Select the interval.
The lower boundary is 0, and the upper boundary is b = 7.

Step 4: Select the interval.
The lower boundary is 0, and the upper boundary is b = 7.

Step 5: Select the interval.
The lower boundary is 0, and the upper boundary is b = 7.

Step 6: Select the interval.
The lower boundary is 0, and the upper boundary is b = 7.

Step 7: Select the interval.
The lower boundary is 0, and the upper boundary is b = 7.

Step 8: Select the interval.
The lower boundary is 0, and the upper boundary is b = 7.

Step 9: Select the interval.
The lower boundary is 0, and the upper boundary is b = 7.

Step 10: Select the interval.
The lower boundary is 0, and the upper boundary is b = 7.

Step 11: Select the interval.
The lower boundary is 0, and the upper boundary is b = 7.

Step 12: Select the interval.
The lower boundary is 0, and the upper boundary is b = 7.

Step 13: Select the interval.
The lower boundary is 0, and the upper boundary is b = 7.

Step 14: Select the interval.
The lower boundary is 0, and the upper boundary is b = 7.

Step 15: Select the interval.
The lower boundary is 0, and the upper boundary is b = 7.

Step 16: Select the interval.
The lower boundary is 0, and the upper boundary is b = 7.

Step 17: Select the interval.
The lower boundary is 0, and the upper boundary is b = 7.

Step 18: Select the interval.
The lower boundary is 0, and the upper boundary is b = 7.

Step 19: Select the interval.
The lower boundary is 0, and the upper boundary is b = 7.

Step 20: Select the interval.
The lower boundary is",,False
algorithmic_scaffold_v2_5,hitting_time_expectation_train_2200000,hitting_time_expectation,symmetric_boundaries_zero_a,1,non_binary,False,"Let (X_n) be a simple symmetric random walk on the integers with X_0 = 3. Let tau = inf{n >= 0 : X_n in {0, 5}}. Compute E[tau]. Answer with JSON of the form {""expected_time"": ""...""} inside the answer tags.",{'expected_time': '6'},"Step 1: Identify the walk type.
The walk is simple symmetric, so p = q = 1/2. Use the symmetric finite-interval formula.

Step 2: Extract the interval parameters.
Lower boundary a = 0; upper boundary b = 5; start x = 3.

Step 3: Select the formula.
For the symmetric walk, E_x[tau] = (x-a)(b-x).

Step 4: Compute each factor.
x-a = 3 - (0) = 3.
b-x = 5 - (3) = 2.

Step 5: Multiply.
E_x[tau] = 3 * 2 = 6.

Final answer:
<answer>
{""expected_time"": ""6""}
</answer>",{'expected_time': '6'},True
algorithmic_scaffold_v2_5,hitting_time_expectation_train_2210000,hitting_time_expectation,symmetric_shifted_boundaries,2,non_binary,False,"Let (X_n) be a simple symmetric random walk with X_0 = 6. Let tau be the first time the walk hits either 2 or 10. Compute E[tau]. Answer with JSON of the form {""expected_time"": ""...""} inside the answer tags.",{'expected_time': '16'},"Step 1: Identify the walk type.
The walk is simple symmetric, so p = q = 1/2. Use the symmetric finite-interval formula.

Step 2: Extract the interval parameters.
Lower boundary a = 2; upper boundary b = 10; start x = 6.

Step 3: Select the formula.
For the symmetric walk, E_x[tau] = (x-a)(b-x).

Step 4: Compute each factor.
x-a = 6 - (2) = 4.
b-x = 10 - 6 = 4.

Step 5: Multiply.
E_x[tau] = 4 * 4 = 16.

Final answer:
<answer>
{""expected_time"": ""16""}
</answer>",{'expected_time': '16'},True
algorithmic_scaffold_v2_5,martingale_verification_train_2600000,martingale_verification,centered_walk_basic,1,binary,False,"Let S_0 = 0 and S_n = Y_1 + ... + Y_n, where the Y_k are independent and P(Y_k = 2) = P(Y_k = -2) = 1/2. With respect to the natural filtration, is (S_n) a martingale? Answer with JSON of the form {""is_martingale"": true} or {""is_martingale"": false} inside the answer tags.",{'is_martingale': True},"Step 1: Identify the martingale test.
Check whether E[S_(n+1) | F_n] = S_n.

Step 2: Compute the conditional increment mean.
S_(n+1) - S_n = Y_(n+1).
E[S_(n+1) | F_n] = E[Y_(n+1)] = 0.

Step 3: Conclude.
E[S_(n+1) | F_n] = 0 = S_n.

Final answer:
<answer>
{""is_martingale"": true}
</answer>",{'is_martingale': True},True
algorithmic_scaffold_v2_5,martingale_verification_train_2620002,martingale_verification,exponential_compensation,3,binary,False,"Let S_n = Y_1 + ... + Y_n, where the Y_k are independent with P(Y_k = 1) = 2/3 and P(Y_k = -1) = 1/3. For fixed theta, consider M_n = exp(theta S_n) / (exp(theta))^n. With respect to the natural filtration, is (M_n) a martingale? Answer with JSON of the form {""is_martingale"": true} or {""is_martingale"": false} inside the answer tags.",{'is_martingale': False},"Step 1: Identify the martingale test.
For a process (X_n), the test in this problem is the martingale test, in the finite-interval sense.

Step 2: Compute the required test.
For a centered walk, X_n is a martingale exactly when E[X_n] = 0.

Step 3: Check the test.
E[M_n] = E[exp(theta S_n)] / E[exp(theta)]^n.

Step 4: Compute each factor.
E[exp(theta Y)] = 2/3 exp(theta) + 1/3 exp(-theta).
E[exp(theta)] = exp(theta).

Step 5: Conclude.
E[M_n] = [2/3 exp(theta) + 1/3 exp(-theta)]^n / [exp(theta)]^n.
Simplify each factor.
E[M_n] = [2/3 + 1/3 exp(-2theta)]^n.

Step 6: Conclude.
is_martingale = true.

Final answer:
<answer>
{""is_martingale"": true}
</answer>",{'is_martingale': True},False
algorithmic_scaffold_v2_5,martingale_verification_train_2610001,martingale_verification,quadratic_compensation,3,binary,False,"Let X_n = Y_1 + ... + Y_n for independent increments with P(Y_k = 5) = P(Y_k = -5) = 1/2. Consider M_n = X_n^2 - 25 n. With respect to the natural filtration, is (M_n) a martingale? Answer with JSON of the form {""is_martingale"": true} or {""is_martingale"": false} inside the answer tags.",{'is_martingale': True},"Step 1: Identify the required compensation.
For a centered walk, X_n^2 - c n is a martingale exactly when c = Var(Y_1).

Step 2: Extract the variance.
Var(Y_1) = E(Y_1^2) - (E(Y_1))^2 = 5^2 (1/2) - (5)(1/2) = 25/2 - 5/2 = 20/2 = 10.

Step 3: Compare with the proposed c.
Proposed c = 25.

Step 4: Conclude.
is_martingale = false.

Final answer:
<answer>
{""is_martingale"": false}
</answer>",{'is_martingale': False},False
algorithmic_scaffold_v2_5,optional_stopping_validity_train_2800000,optional_stopping_validity,bounded_time_valid,1,binary,False,"Let (S_n) be a simple symmetric random walk with S_0 = 0 and natural filtration F_n. Let T = inf{k >= 0 : S_k = 1} and tau = min(T, 5). A solution claims that optional stopping gives E[S_tau] = E[S_0]. Is this use of optional stopping justified? Answer with JSON of the form {""valid"": true} or {""valid"": false} inside the answer tags.",{'valid': True},"Step 1: Identify the optional-stopping issue.
Before using E[M_tau] = E[M_0], check the stopping-time hypotheses.

Step 2: Check the condition in this problem.
tau = min(T, 5).
The optional-stopping issue does not apply in this problem.

Step 3: Conclude.
valid = true.

Final answer:
<answer>
{""valid"": true}
</answer>",{'valid': True},True
algorithmic_scaffold_v2_5,optional_stopping_validity_train_2820000,optional_stopping_validity,finite_state_hitting_valid,3,binary,False,"Let (X_n) be a simple symmetric random walk on {0, ..., 10}, absorbed when it hits 0 or 10, with X_0 = 7. Let tau be the absorption time. A solution applies optional stopping to the bounded stopped process to conclude E[X_tau] = 7. Is this use justified? Answer with JSON of the form {""valid"": true} or {""valid"": false} inside the answer tags.",{'valid': True},"Step 1: Identify the optional-stopping issue.
Before using E[M_tau] = E[M_0], check the stopping-time hypotheses.

Step 2: Check the condition in this problem.
tau is an unbounded first-hitting time, and no extra integrability condition is given.

Step 3: Conclude.
valid = false.

Final answer:
<answer>
{""valid"": false}
</answer>",{'valid': False},False
algorithmic_scaffold_v2_5,optional_stopping_validity_train_2810000,optional_stopping_validity,unbounded_first_hit_invalid,2,binary,False,"Let (S_n) be a simple symmetric random walk with S_0 = 0. Let tau = inf{n >= 0 : S_n = 4}. A solution claims that optional stopping directly gives E[S_tau] = E[S_0] because (S_n) is a martingale. Is this use justified as stated? Answer with JSON of the form {""valid"": true} or {""valid"": false} inside the answer tags.",{'valid': False},"Step 1: Identify the optional-stopping issue.
Before using E[M_tau] = E[M_0], check the stopping-time hypotheses.

Step 2: Check the condition in this problem.
tau is an unbounded first-hitting time, and no extra integrability condition is given.

Step 3: Conclude.
valid = false.

Final answer:
<answer>
{""valid"": false}
</answer>",{'valid': False},True
algorithmic_scaffold_v2_5,stopped_process_expectation_train_2400000,stopped_process_expectation,bounded_walk_expectation,1,non_binary,False,"Let (X_n) be a simple symmetric random walk with X_0 = 1. Let T = inf{k >= 0 : X_k = 3} and tau = min(T, 5). Compute E[X_tau]. Answer with JSON of the form {""value"": ""...""} inside the answer tags.",{'value': '1'},"Step 1: Identify the stopped process.
The process is the simple symmetric random walk (X_n), and tau = min(T, 5).
Because tau has a deterministic cap, tau is bounded.

Step 2: Extract the starting value.
X_0 = 1. The target level 3 does not change the optional-stopping value.

Step 3: Apply optional stopping directly.
E[X_tau] = E[X_0] = 1.

Final answer:
<answer>
{""value"": ""1""}
</answer>",{'value': '1'},True
