adapter,id,family,problem_type,difficulty,answer_type,manual_variation,problem,canonical_answer,raw_output,predicted_answer,correct
explicit_theorems,hitting_time_expectation_train_343001,hitting_time_expectation,biased_boundaries_zero_a,3,non_binary,False,"Let (X_n) be a nearest-neighbor random walk on the integers with X_0 = 5, P(X_(n+1) = X_n + 1 | F_n) = 3/5, and P(X_(n+1) = X_n - 1 | F_n) = 2/5. Let tau = inf{n >= 0 : X_n in {0, 7}}. Compute E[tau]. Answer with JSON of the form {""expected_time"": ""...""} inside the answer tags.",{'expected_time': '14990/2059'},"Use the bounded optional stopping theorem for a finite horizon. The finite horizon is the first passage time to the set {0, 7}. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is a finite horizon, and the optional stopping theorem applies. The finite horizon is",,False
explicit_theorems,hitting_time_expectation_train_341000,hitting_time_expectation,symmetric_boundaries_zero_a,1,non_binary,True,"Consider a simple symmetric random walk (X_n) on the integers with X_0 = 8. Set tau = inf{n >= 0 : X_n in {0, 10}}. Compute the expected hitting time E[tau]. Return JSON of the form {""expected_time"": ""...""} inside the answer tags.",{'expected_time': '16'},"Use the bounded optional stopping theorem for a finite horizon: the hitting time tau is a bounded stopping time, and the stopped process is a martingale. The finite horizon optional stopping theorem gives the deterministic finite horizon: the stopped process is a martingale, and the stopped process at the first passage is a martingale. The finite horizon optional stopping theorem gives the deterministic finite horizon: the stopped process is a martingale, and the stopped process at the first passage is a martingale. The finite horizon optional stopping theorem gives the deterministic finite horizon: the stopped process is a martingale, and the stopped process at the first passage is a martingale. The finite horizon optional stopping theorem gives the deterministic finite horizon: the stopped process is a martingale, and the stopped process at the first passage is a martingale. The finite horizon optional stopping theorem gives the deterministic finite horizon: the stopped process is a martingale, and the stopped process at the first passage is a martingale. The finite horizon optional stopping theorem gives the deterministic finite horizon: the stopped process is a martingale, and the stopped process at the first passage is a martingale. The finite horizon optional stopping theorem gives the deterministic finite horizon: the stopped process is a martingale, and the stopped process at the first passage is a martingale. The finite horizon optional stopping theorem gives the deterministic finite horizon: the stopped process is a martingale, and the stopped process at the first passage is a martingale. The finite horizon optional stopping theorem gives the deterministic finite horizon: the stopped process is a martingale, and the stopped process at the first passage is a martingale. The finite horizon optional stopping theorem gives the deterministic finite horizon: the stopped process is a martingale, and the stopped process at the first passage is a martingale. The finite horizon optional stopping theorem gives the deterministic finite horizon: the stopped process is a martingale, and the stopped process at the first passage is a martingale. The finite horizon optional stopping theorem gives the deterministic finite horizon: the stopped process is a martingale, and the stopped process at the first passage is a martingale. The finite horizon optional stopping theorem gives the deterministic finite horizon: the stopped process is a martingale, and the stopped process at the first passage is a martingale. The finite horizon optional stopping theorem gives the deterministic finite horizon: the stopped process is a martingale, and the stopped process at",,False
explicit_theorems,hitting_time_expectation_train_342000,hitting_time_expectation,symmetric_shifted_boundaries,2,non_binary,True,"Consider a simple symmetric random walk (S_n) with S_0 = 3. Let tau denote the first hitting time of either 1 or 5. Compute the expected hitting time E[tau]. Return JSON of the form {""expected_time"": ""...""} inside the answer tags.",{'expected_time': '4'},"Use the bounded optional stopping theorem and the boundedness of the hitting times. The symmetric simple random walk is a martingale, and the hitting times for the boundaries 1 and 5 are bounded. The first passage hitting time for a symmetric simple random walk is a finite and bounded stopping time. The expected hitting time can be computed using the bounded optional stopping theorem and the boundedness of the hitting times. The symmetric simple random walk is a martingale, and the hitting times for the boundaries 1 and 5 are bounded. The first passage hitting time for a symmetric simple random walk is a finite and bounded stopping time. The expected hitting time can be computed using the bounded optional stopping theorem and the boundedness of the hitting times. The symmetric simple random walk is a martingale, and the hitting times for the boundaries 1 and 5 are bounded. The first passage hitting time for a symmetric simple random walk is a finite and bounded stopping time. The expected hitting time can be computed using the bounded optional stopping theorem and the boundedness of the hitting times. The symmetric simple random walk is a martingale, and the hitting times for the boundaries 1 and 5 are bounded. The first passage hitting time for a symmetric simple random walk is a finite and bounded stopping time. The expected hitting time can be computed using the bounded optional stopping theorem and the boundedness of the hitting times. The symmetric simple random walk is a martingale, and the hitting times for the boundaries 1 and 5 are bounded. The first passage hitting time for a symmetric simple random walk is a finite and bounded stopping time. The expected hitting time can be computed using the bounded optional stopping theorem and the boundedness of the hitting times. The symmetric simple random walk is a martingale, and the hitting times for the boundaries 1 and 5 are bounded. The first passage hitting time for a symmetric simple random walk is a finite and bounded stopping time. The expected hitting time can be computed using the bounded optional stopping theorem and the boundedness of the hitting times. The symmetric simple random walk is a martingale, and the hitting times for the boundaries 1 and 5 are bounded. The first passage hitting time for a symmetric simple random walk is a finite and bounded stopping time. The expected hitting time can be computed using the bounded optional stopping theorem and the boundedness of the hitting times. The symmetric simple random walk is a martingale, and the hitting times for the boundaries 1 and 5 are bounded. The first",,False
explicit_theorems,hitting_time_expectation_train_343000,hitting_time_expectation,symmetric_shifted_boundaries,3,non_binary,True,"Consider a simple symmetric random walk (S_n) with S_0 = 2. Let tau denote the first hitting time of either 1 or 6. Compute the expected hitting time E[tau]. Return JSON of the form {""expected_time"": ""...""} inside the answer tags.",{'expected_time': '4'},"Use the bounded optional stopping theorem for a finite horizon. The hitting times for the finite horizon (1 and 6) are finite and the stopped process is a martingale. The bounded optional stopping theorem gives the expected hitting time as the difference between the starting point and the lower limit: E[tau] = S_0 - 1 = 2 - 1 = 1. Final answer:
<answer>
{""expected_time"": ""1""}
</answer>",{'expected_time': '1'},False
explicit_theorems,martingale_verification_train_311000,martingale_verification,centered_walk_basic,1,binary,True,"Take S_0 = 0 and define S_n = Y_1 + ... + Y_n, where the Y_k are independent and P(Y_k = 3) = P(Y_k = -3) = 1/2. With the natural filtration in mind, decide whether (S_n) is a martingale? Give only JSON of the required form inside the answer tags.",{'is_martingale': True},"Use the bounded optional stopping theorem: if the stopped process is bounded and the stopped optional stopping theorem applies, the stopped process is a martingale. The stopped process is bounded by the uniform integrability of the adapted processes. The stopped optional stopping theorem applies, so the stopped process is a martingale. The stopped process is bounded by the uniform integrability of the adapted processes. The stopped optional stopping theorem applies, so the stopped process is a martingale.

Final answer:
<answer>
{""is_martingale"": true}
</answer>",{'is_martingale': True},True
explicit_theorems,martingale_verification_train_313002,martingale_verification,exponential_compensation,3,binary,False,"Let S_n = Y_1 + ... + Y_n, where the Y_k are independent with P(Y_k = 1) = 1/3 and P(Y_k = -1) = 2/3. For fixed lambda, consider M_n = exp(lambda S_n) / (exp(lambda))^n. With respect to the natural filtration, is (M_n) a martingale? Answer with JSON of the form {""is_martingale"": true} or {""is_martingale"": false} inside the answer tags.",{'is_martingale': False},"Use the bounded optional stopping theorem and the boundedness of the martingale. The process M_n is a martingale if it satisfies the martingale condition. The process is a martingale if the increments satisfy the martingale property. The increments are independent and centered, and the increments are bounded. The process is a martingale if it is a martingale with respect to the natural filtration. The process is a martingale if it is a martingale with respect to the natural filtration. The process is a martingale if it is a martingale with respect to the natural filtration. The process is a martingale if it is a martingale with respect to the natural filtration. The process is a martingale if it is a martingale with respect to the natural filtration. The process is a martingale if it is a martingale with respect to the natural filtration. The process is a martingale if it is a martingale with respect to the natural filtration. The process is a martingale if it is a martingale with respect to the natural filtration. The process is a martingale if it is a martingale with respect to the natural filtration. The process is a martingale if it is a martingale with respect to the natural filtration. The process is a martingale if it is a martingale with respect to the natural filtration. The process is a martingale if it is a martingale with respect to the natural filtration. The process is a martingale if it is a martingale with respect to the natural filtration. The process is a martingale if it is a martingale with respect to the natural filtration. The process is a martingale if it is a martingale with respect to the natural filtration. The process is a martingale if it is a martingale with respect to the natural filtration. The process is a martingale if it is a martingale with respect to the natural filtration. The process is a martingale if it is a martingale with respect to the natural filtration. The process is a martingale if it is a martingale with respect to the natural filtration. The process is a martingale if it is a martingale with respect to the natural filtration. The process is a martingale if it is a martingale with respect to the natural filtration. The process is a martingale",{'is_martingale': True},False
explicit_theorems,martingale_verification_train_312000,martingale_verification,quadratic_compensation,2,binary,True,"Let S_n = Y_1 + ... + Y_n for independent increments with mean 0 and variance 9. Consider M_n = S_n^2 - 18 n. With the natural filtration in mind, decide whether (M_n) is a martingale? Give only JSON of the required form inside the answer tags.",{'is_martingale': False},"Use the quadratic martingale martingale test: if the increments have mean 0 and variance 9, then M_n is a martingale. Final answer:
<answer>
{""is_martingale"": true}
</answer>",{'is_martingale': True},False
explicit_theorems,martingale_verification_train_313000,martingale_verification,quadratic_compensation,3,binary,True,"Define S_n = Y_1 + ... + Y_n for independent increments with mean 0 and standard deviation 1. Consider M_n = S_n^2 - 1 n. With the natural filtration in mind, decide whether (M_n) is a martingale? Give only JSON of the required form inside the answer tags.",{'is_martingale': True},"Use the quadratic martingale and the bounded independent increments property. The increments Y_i have mean 0 and variance 1, and the increments are independent. The increments satisfy the quadratic martingale property: M_n = S_n^2 - n. The increments satisfy the quadratic martingale property, and the increments are independent and centered. The increments have mean 0 and variance 1, and the increments are independent. The increments satisfy the quadratic martingale property, and the increments are independent and centered. The increments have mean 0 and variance 1, and the increments are independent. The increments satisfy the quadratic martingale property, and the increments are independent and centered. The increments have mean 0 and variance 1, and the increments are independent. The increments satisfy the quadratic martingale property, and the increments are independent and centered. The increments have mean 0 and variance 1, and the increments are independent. The increments satisfy the quadratic martingale property, and the increments are independent and centered. The increments have mean 0 and variance 1, and the increments are independent. The increments satisfy the quadratic martingale property, and the increments are independent and centered. The increments have mean 0 and variance 1, and the increments are independent. The increments satisfy the quadratic martingale property, and the increments are independent and centered. The increments have mean 0 and variance 1, and the increments are independent. The increments satisfy the quadratic martingale property, and the increments are independent and centered. The increments have mean 0 and variance 1, and the increments are independent. The increments satisfy the quadratic martingale property, and the increments are independent and centered. The increments have mean 0 and variance 1, and the increments are independent. The increments satisfy the quadratic martingale property, and the increments are independent and centered. The increments have mean 0 and variance 1, and the increments are independent. The increments satisfy the quadratic martingale property, and the increments are independent and centered. The increments have mean 0 and variance 1, and the increments are independent. The increments satisfy the quadratic martingale property, and the increments are independent and centered. The increments have mean 0 and variance 1, and the increments are independent. The increments satisfy the quadratic martingale property, and the increments are independent and centered. The increments have mean 0 and variance 1, and the increments are independent. The increments satisfy the quadratic",,False
explicit_theorems,optional_stopping_validity_train_321000,optional_stopping_validity,bounded_time_valid,1,binary,True,"Consider a simple symmetric random walk (X_n) with X_0 = 0 and natural filtration F_n. Let T = inf{k >= 0 : X_k = 2} and tau = min(T, 10). Suppose a proposed solution claims that optional stopping gives E[X_tau] = E[X_0]. Is the quoted optional-stopping step justified as written? Give only JSON of the required form inside the answer tags.",{'valid': True},"Use the bounded optional stopping theorem: if the stopping time tau is bounded by a finite horizon, then E[X_tau] = E[X_0]. The proposed solution is justified. Final answer:
<answer>
{""justified"": true}
</answer>",{'justified': True},True
explicit_theorems,optional_stopping_validity_train_323002,optional_stopping_validity,finite_state_hitting_valid,3,binary,False,"Let (S_n) be a simple symmetric random walk on {0, ..., 8}, absorbed when it hits 0 or 8, with S_0 = 4. Let tau be the absorption time. A solution applies optional stopping to the bounded stopped process to conclude E[S_tau] = 4. Is this use justified? Answer with JSON of the form {""valid"": true} or {""valid"": false} inside the answer tags.",{'valid': True},"Use the bounded optional stopping theorem: if the stopped process is bounded and the stopped martingale is bounded, then the optional stopping theorem applies. The stopped process is bounded by the finite horizon (0 to 8), and the stopped martingale is the stopped simple symmetric random walk. The optional stopping theorem gives E[S_tau] = S_0 = 4. The use is justified.

Final answer:
<answer>
{""valid"": true}
</answer>",{'valid': True},True
